frame,x1,y1,x2,y2,confidence,class
31,920,219,957,261,0.9059,player
31,337,405,375,455,0.905,player
31,718,345,747,398,0.9039,player
31,890,175,925,220,0.9008,player
31,1009,279,1028,336,0.8978,player
31,1491,247,1514,295,0.8926,player
31,590,124,628,165,0.8887,player
31,1665,473,1694,532,0.8827,player
31,340,366,375,415,0.8691,player
31,755,388,780,445,0.7164,player
31,807,166,829,210,0.5754,player
31,517,91,540,133,0.4657,player
32,1332,792,1369,863,0.9345,player
32,1099,480,1138,539,0.9328,player
32,274,714,322,779,0.9264,player
32,322,480,366,537,0.9255,player
32,450,209,491,262,0.9235,player
32,809,560,838,622,0.9162,player
32,761,257,801,307,0.9125,player
32,1150,367,1174,421,0.9077,player
32,922,220,957,265,0.9036,player
32,718,345,752,398,0.903,player
32,1492,248,1518,296,0.899,player
32,757,387,784,443,0.8975,player
32,1699,343,1725,402,0.896,player
32,1665,473,1691,533,0.8948,player
32,967,167,1006,210,0.8931,player
32,890,177,923,222,0.8898,player
32,1014,279,1030,338,0.8845,player
32,593,127,631,169,0.8668,player
32,338,404,381,452,0.8627,player
32,341,367,377,414,0.8594,player
32,803,166,829,212,0.6867,player
33,1333,792,1366,862,0.932,player
33,807,558,844,621,0.9244,player
33,326,479,367,536,0.9242,player
33,1101,480,1135,538,0.9228,player
33,717,345,755,399,0.9198,player
33,800,169,832,213,0.9198,player
33,278,710,318,776,0.9154,player
33,453,211,494,264,0.9133,player
33,966,170,1004,212,0.9132,player
33,1491,248,1518,298,0.9094,player
33,760,260,793,309,0.906,player
33,756,386,790,443,0.903,player
33,1151,367,1173,421,0.8978,player
33,890,179,919,222,0.8923,player
33,1663,473,1689,533,0.89,player
33,925,222,955,268,0.8845,player
33,1018,282,1034,339,0.8761,player
33,1698,343,1718,403,0.8738,player
33,602,129,631,173,0.8692,player
33,342,367,384,414,0.8669,player
33,340,398,383,452,0.8458,player
34,804,557,847,617,0.9335,player
34,795,170,832,213,0.9258,player
34,278,706,314,774,0.92,player
34,755,386,796,442,0.9181,player
34,1334,790,1363,858,0.9153,player
34,1020,283,1039,339,0.9145,player
34,1488,250,1520,300,0.9135,player
34,329,480,367,536,0.9114,player
34,715,345,757,399,0.9103,player
34,1151,367,1177,420,0.9097,player
34,1105,480,1132,538,0.9065,player
34,761,260,787,309,0.9053,player
34,1661,473,1689,534,0.9028,player
34,456,212,499,267,0.9026,player
34,893,180,924,224,0.894,player
34,606,132,630,175,0.8835,player
34,1696,343,1717,403,0.8769,player
34,927,223,952,268,0.8742,player
34,970,172,999,216,0.8737,player
34,343,367,387,410,0.8467,player
34,344,399,388,451,0.8423,player
35,798,554,851,613,0.9279,player
35,278,703,314,772,0.9218,player
35,1487,252,1522,301,0.9188,player
35,1659,473,1691,533,0.9174,player
35,1333,788,1362,859,0.9166,player
35,463,215,500,268,0.9148,player
35,793,172,831,216,0.9137,player
35,1693,345,1720,405,0.9112,player
35,718,347,757,400,0.9111,player
35,330,478,364,535,0.9095,player
35,758,387,798,440,0.9082,player
35,760,260,791,310,0.9059,player
35,1153,368,1181,421,0.9013,player
35,893,180,926,223,0.9012,player
35,1102,481,1125,538,0.8968,player
35,1020,283,1045,340,0.8901,player
35,927,226,952,269,0.8764,player
35,970,176,992,218,0.8718,player
35,345,399,390,450,0.8648,player
35,610,133,634,177,0.8585,player
35,343,367,390,415,0.8434,player
36,280,697,321,770,0.9273,player
36,1657,472,1692,533,0.9238,player
36,1334,785,1366,857,0.9206,player
36,795,554,849,612,0.9202,player
36,967,175,994,218,0.9147,player
36,1021,285,1051,341,0.9134,player
36,1157,368,1185,422,0.9126,player
36,756,260,794,308,0.9105,player
36,1489,253,1521,303,0.9093,player
36,1688,345,1723,406,0.9085,player
36,333,476,366,534,0.9079,player
