player_id,frame,view,x1,y1,x2,y2
379,23,tacticam,1674,468,1701,529
379,21,broadcast,1533,441,1576,524
368,23,tacticam,1710,332,1738,393
380,23,tacticam,1493,234,1520,284
380,21,broadcast,1533,441,1576,524
381,23,tacticam,979,153,1012,200
382,23,tacticam,824,568,867,632
382,21,broadcast,1543,705,1640,827
383,23,tacticam,918,206,955,252
384,23,tacticam,748,390,771,447
320,23,tacticam,1140,358,1164,415
377,24,tacticam,300,491,347,552
385,24,tacticam,268,743,319,817
385,22,broadcast,653,719,717,845
386,24,tacticam,1103,480,1141,542
386,22,broadcast,871,611,943,712
387,24,tacticam,577,109,613,153
387,22,broadcast,1536,705,1605,822
388,24,tacticam,748,388,776,447
389,24,tacticam,815,155,849,201
389,22,broadcast,1536,705,1605,822
390,24,tacticam,1320,807,1366,876
390,22,broadcast,653,719,717,845
391,24,tacticam,710,342,747,396
391,22,broadcast,871,611,943,712
392,24,tacticam,314,412,352,466
392,22,broadcast,1536,705,1605,822
393,24,tacticam,778,250,820,298
393,22,broadcast,871,611,943,712
377,24,tacticam,428,202,470,257
394,24,tacticam,1494,234,1522,284
394,22,broadcast,1536,705,1605,822
395,24,tacticam,975,272,1007,332
395,22,broadcast,1536,705,1605,822
396,24,tacticam,980,154,1015,199
396,22,broadcast,1617,559,1682,670
397,24,tacticam,818,568,859,632
397,22,broadcast,1536,705,1605,822
398,24,tacticam,1673,468,1700,529
398,22,broadcast,1653,451,1707,536
399,24,tacticam,333,365,369,421
400,24,tacticam,890,163,924,210
400,22,broadcast,1309,475,1378,564
401,24,tacticam,1710,334,1733,393
401,23,broadcast,216,508,255,612
